year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow,symbol
Mar 2015,"28,059","-22,301","-9,672","-3,914",BHARTIARTL
Mar 2016,"27,942","-14,091","-11,946","1,905",BHARTIARTL
Mar 2017,"28,280","-30,680",-351,"-2,752",BHARTIARTL
Mar 2018,"29,854","-27,940","1,920","3,835",BHARTIARTL
Mar 2019,"20,070","-28,286","9,464","1,248",BHARTIARTL
Mar 2020,"18,129","-29,598","19,144","7,675",BHARTIARTL
Mar 2021,"48,205","-27,286","-24,910","-3,991",BHARTIARTL
Mar 2022,"55,017","-41,478","-15,203","-1,664",BHARTIARTL
Mar 2011,296,-118,-166,13,BRITANNIA
Mar 2012,246,-65,-168,13,BRITANNIA
Mar 2013,320,28,-378,-30,BRITANNIA
Mar 2014,671,-246,-357,68,BRITANNIA
Mar 2015,584,-450,-181,-47,BRITANNIA
Mar 2016,959,-705,-246,8,BRITANNIA
Mar 2017,441,-150,-295,-4,BRITANNIA
Mar 2018,"1,249",-957,-232,60,BRITANNIA
Mar 2019,"1,156",-852,-353,-49,BRITANNIA
Mar 2020,"1,485","-1,526",58,17,BRITANNIA
Mar 2021,"1,876",433,"-2,242",66,BRITANNIA
Mar 2022,"1,300",914,"-2,246",-32,BRITANNIA
Mar 2011,"1,025",-908,-83,34,CIPLA
Mar 2012,"1,713",-965,-753,-6,CIPLA
Mar 2013,"1,398","-2,063",718,53,CIPLA
Mar 2014,"1,563","-1,265",-266,33,CIPLA
Mar 2015,"1,173",-950,165,388,CIPLA
Mar 2016,"1,741","-4,533","3,104",312,CIPLA
Mar 2017,"2,382","-1,304","-1,326",-248,CIPLA
Mar 2018,"1,463",-834,-385,243,CIPLA
Mar 2019,"1,691","-1,688",-349,-345,CIPLA
Mar 2020,"3,068",114,"-2,949",234,CIPLA
Mar 2021,"3,755","-2,374","-1,240",141,CIPLA
Mar 2022,"3,326","-1,858","-1,600",-132,CIPLA
Mar 2011,"8,704","1,040","-3,017","6,728",COALINDIA
Mar 2012,"19,888","-10,410","-7,382","2,095",COALINDIA
Mar 2013,"9,109","-1,833","-7,852",-575,COALINDIA
Mar 2014,"14,525","8,580","-25,350","-2,246",COALINDIA
Mar 2015,"14,382",894,"-15,026",250,COALINDIA
Mar 2016,"13,154","8,154","-19,587","1,721",COALINDIA
Mar 2017,"16,461",455,"-17,598",-682,COALINDIA
Mar 2018,"21,115","-7,747","-13,564",-196,COALINDIA
Mar 2019,"16,356","-7,896","-10,885","-2,426",COALINDIA
Mar 2020,"4,977","1,033","-4,791","1,219",COALINDIA
Mar 2021,"10,592",182,"-8,453","2,321",COALINDIA
Mar 2022,"41,088","-26,481","-13,441","1,165",COALINDIA
Mar 2011,327,-221,-104,1,DIVISLAB
Mar 2012,338,-204,-131,3,DIVISLAB
Mar 2013,480,-255,-231,-5,DIVISLAB
Mar 2014,557,-305,-248,3,DIVISLAB
Mar 2015,826,-521,-303,3,DIVISLAB
Mar 2016,"1,038",-406,-631,0,DIVISLAB
Mar 2017,"1,150","-1,140",2,13,DIVISLAB
Mar 2018,776,-478,-314,-17,DIVISLAB
Mar 2019,954,-685,-246,23,DIVISLAB
Mar 2020,"1,216",-83,"-1,091",41,DIVISLAB
Mar 2021,"1,947",75,-35,"1,987",DIVISLAB
Mar 2022,"1,912","-2,195",-532,-816,DIVISLAB
Mar 2011,755,-885,44,-85,DRREDDY
Mar 2012,"1,613",-971,389,"1,031",DRREDDY
Mar 2013,"1,378","-1,437",-157,-216,DRREDDY
Mar 2014,"1,970","-1,604",-24,342,DRREDDY
