year,share_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets,symbol
Mar 2022,614,"117,496","1,020,692","56,726","1,195,529","4,753",215,"274,608","915,952","1,195,529",AXISBANK
Mar 2011,289,"4,518",347,"3,994","9,149","1,855",70,"4,211","3,013","9,149",BAJAJ-AUTO
Mar 2012,289,"5,792",150,"4,894","11,126","1,920",42,"4,473","4,692","11,126",BAJAJ-AUTO
Mar 2013,289,"7,776",116,"4,461","12,642","2,355",294,"6,059","3,934","12,642",BAJAJ-AUTO
Mar 2014,289,"9,878",59,"5,081","15,308","2,660",144,"8,448","4,056","15,308",BAJAJ-AUTO
Mar 2015,289,"10,806",112,"4,758","15,966","2,448",255,"8,985","4,277","15,966",BAJAJ-AUTO
Mar 2016,289,"13,731",118,"3,102","17,240","2,026",52,"11,067","4,095","17,240",BAJAJ-AUTO
Mar 2017,289,"17,567",120,"3,661","21,638","2,002",42,"15,477","4,117","21,638",BAJAJ-AUTO
Mar 2018,289,"20,136",121,"4,595","25,141","1,878",56,"18,895","4,312","25,141",BAJAJ-AUTO
Mar 2019,289,"22,944",125,"5,476","28,834","1,764",48,"20,603","6,420","28,834",BAJAJ-AUTO
Mar 2020,289,"21,373",126,"4,722","26,510","1,699",60,"19,914","4,837","26,510",BAJAJ-AUTO
Mar 2021,289,"26,984",121,"6,207","33,602","1,668",16,"24,687","7,232","33,602",BAJAJ-AUTO
Mar 2022,289,"29,570",123,"5,129","35,111","1,836",77,"26,634","6,564","35,111",BAJAJ-AUTO
Sep 2022,284,"25,753",124,"6,356","32,516","1,787",222,"22,786","7,721","32,516",BAJAJ-AUTO
Mar 2015,50,"4,750","26,655","1,325","32,780",252,0,326,"32,201","32,780",BAJFINANCE
Mar 2016,54,"7,271","37,025","2,624","46,973",290,0,"1,029","45,654","46,973",BAJFINANCE
Mar 2017,109,"9,491","49,250","4,881","63,731",366,0,"4,070","59,295","63,731",BAJFINANCE
Mar 2018,115,"15,733","66,557","2,393","84,798",470,0,"3,139","81,189","84,798",BAJFINANCE
Mar 2019,115,"19,582","101,588","2,948","124,233",695,0,"8,599","114,939","124,233",BAJFINANCE
Mar 2020,120,"32,208","129,806","2,257","164,391","1,321",0,"17,544","145,526","164,391",BAJFINANCE
Mar 2021,120,"36,798","131,634","2,918","171,470","1,316",51,"18,397","151,707","171,470",BAJFINANCE
Mar 2022,121,"43,592","165,232","3,561","212,505","1,716",34,"12,246","198,509","212,505",BAJFINANCE
Sep 2022,121,"47,922","183,273","4,407","235,723","1,995",14,"14,525","219,189","235,723",BAJFINANCE
Mar 2011,72,"3,652","6,693","43,599","54,017",580,14,"43,127","10,296","54,017",BAJAJFINSV
Mar 2012,72,"5,027","10,201","44,154","59,454",818,18,"43,506","15,113","59,454",BAJAJFINSV
Mar 2013,80,"7,724","12,991","44,576","65,370","1,208",2,"43,251","20,910","65,370",BAJAJFINSV
Mar 2014,80,"9,232","19,507","45,565","74,383","1,262",1,"45,314","27,805","74,383",BAJAJFINSV
Mar 2015,80,"10,885","26,312","50,952","88,228","1,261",3,"51,367","35,598","88,228",BAJAJFINSV
Mar 2016,80,"13,312","36,062","54,498","103,951","1,274",11,"53,698","48,969","103,951",BAJAJFINSV
