year,share_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets,symbol
Mar 2012,62,"4,504",916,"2,797","8,279","4,244",49,567,"3,420","8,279",TATACONSUM
Mar 2013,62,"4,748","1,389","2,595","8,794","4,434",91,578,"3,691","8,794",TATACONSUM
Mar 2014,62,"5,787","1,438","2,625","9,911","5,181",60,611,"4,060","9,911",TATACONSUM
Mar 2015,62,"5,430","1,324","2,642","9,458","4,922",47,622,"3,867","9,458",TATACONSUM
Mar 2016,63,"6,184","1,354","2,294","9,895","4,662",39,"1,366","3,828","9,895",TATACONSUM
Mar 2017,63,"6,202",787,"2,499","9,551","4,573",63,"1,451","3,465","9,551",TATACONSUM
Mar 2018,63,"6,968","1,068","2,362","10,461","4,798",135,"1,161","4,366","10,461",TATACONSUM
Mar 2019,63,"7,269","1,141","2,408","10,881","4,913",424,"1,188","4,355","10,881",TATACONSUM
Mar 2020,92,"13,723","1,586","3,072","18,473","11,656",95,"1,323","5,399","18,473",TATACONSUM
Mar 2021,92,"14,442","1,634","4,050","20,218","12,023",113,806,"7,276","20,218",TATACONSUM
Mar 2022,92,"15,050","1,412","4,521","21,075","12,599",247,797,"7,431","21,075",TATACONSUM
Sep 2022,92,"14,797","1,294","4,627","20,811","12,576",245,"1,040","6,950","20,811",TATACONSUM
Mar 2011,635,"18,534","32,811","48,403","100,382","35,349","11,457","2,544","51,032","100,382",TATAMOTORS
Mar 2012,635,"32,064","47,149","62,919","142,766","44,360","15,946","8,918","73,542","142,766",TATAMOTORS
Mar 2013,638,"36,999","53,716","76,977","168,330","55,512","18,454","8,765","85,600","168,330",TATAMOTORS
Mar 2014,644,"64,960","60,642","92,180","218,426","69,092","33,263","10,687","105,385","218,426",TATAMOTORS
Mar 2015,644,"55,618","73,610","107,442","237,315","88,479","28,640","15,337","104,858","237,315",TATAMOTORS
Mar 2016,679,"78,273","69,360","114,872","263,184","107,232","25,919","23,767","106,266","263,184",TATAMOTORS
Mar 2017,679,"57,383","78,604","135,914","272,580","95,944","33,699","20,338","122,600","272,580",TATAMOTORS
Mar 2018,679,"94,749","88,950","142,813","327,192","121,414","40,034","20,813","144,932","327,192",TATAMOTORS
Mar 2019,679,"59,500","106,175","139,349","305,703","111,234","31,884","15,771","146,814","305,703",TATAMOTORS
Mar 2020,720,"61,491","124,788","133,181","320,179","127,107","35,622","16,308","141,141","320,179",TATAMOTORS
Mar 2021,766,"54,481","142,131","144,193","341,570","138,708","20,964","24,620","157,278","341,570",TATAMOTORS
Mar 2022,766,"43,795","146,449","138,051","329,061","138,855","10,251","29,380","150,575","329,061",TATAMOTORS
Mar 2011,959,"34,427","60,577","39,350","135,313","51,866","13,552","7,847","62,048","135,313",TATASTEEL
Mar 2012,994,"41,645","59,897","44,278","146,791","59,287","20,196","4,021","63,286","146,791",TATASTEEL
Mar 2013,993,"33,201","68,507","44,197","146,876","68,002","14,277","3,258","61,340","146,876",TATASTEEL
Mar 2014,991,"39,561","81,609","49,463","171,604","74,907","26,822","5,093","64,781","171,604",TATASTEEL
Mar 2015,971,"30,378","80,701","47,059","159,109","68,100","28,678","3,455","58,876","159,109",TATASTEEL
Mar 2016,970,"40,487","81,987","53,440","176,884","72,200","35,996","10,714","57,974","176,884",TATASTEEL
Mar 2017,970,"34,574","83,014","53,889","172,447","92,007","15,784","12,457","52,200","172,447",TATASTEEL
Mar 2018,"1,165","57,451","92,127","57,999","208,722","96,105","16,614","17,899","78,103","208,722",TATASTEEL
Mar 2019,"1,158","65,505","100,803","65,320","232,773","124,442","18,641","5,738","83,952","232,773",TATASTEEL
Mar 2020,"1,145","70,156","116,328","61,520","249,149","134,551","19,497","6,285","88,816","249,149",TATASTEEL
Mar 2021,"1,198","72,262","88,501","81,948","243,909","135,775","19,007","10,682","78,445","243,909",TATASTEEL
Mar 2022,"1,221","113,222","75,561","92,417","282,422","133,288","22,046","13,140","113,948","282,422",TATASTEEL
Mar 2011,126,"3,225","1,223","1,481","6,055",617,61,"2,908","2,470","6,055",TECHM
Mar 2012,128,"3,923","1,127","1,758","6,935",682,167,"3,588","2,498","6,935",TECHM
Mar 2013,128,"5,297","1,380","2,179","8,984","1,245",34,"4,099","3,607","8,984",TECHM
Mar 2014,234,"8,947",363,"6,396","15,940","2,594",266,"1,472","11,607","15,940",TECHM
Mar 2015,480,"11,768",700,"6,899","19,848","4,033",568,"2,103","13,145","19,848",TECHM
Mar 2016,436,"14,154","1,091","6,844","22,525","4,309",629,"1,297","16,289","22,525",TECHM
Mar 2017,439,"15,996","1,366","8,256","26,057","6,460",373,"2,396","16,828","26,057",TECHM
Mar 2018,442,"18,399","2,397","9,194","30,431","7,622",240,"4,841","17,728","30,431",TECHM
Mar 2019,444,"19,839","1,996","11,168","33,446","7,061",276,"7,342","18,766","33,446",TECHM
Mar 2020,436,"21,376","3,670","11,835","37,318","8,872",50,"5,848","22,548","37,318",TECHM
Mar 2021,437,"24,423","2,901","11,841","39,602","9,018",118,"10,238","20,228","39,602",TECHM
Mar 2022,439,"26,446","2,618","14,912","44,416","14,784",165,"4,884","24,583","44,416",TECHM
Mar 2011,44,991,68,"2,655","3,758",288,17,3,"3,451","3,758",TITAN
Mar 2012,89,"1,372",6,"3,243","4,710",384,25,2,"4,299","4,710",TITAN
Mar 2013,89,"1,881",0,"3,914","5,884",464,42,3,"5,375","5,884",TITAN
Mar 2014,89,"2,434",807,"2,781","6,111",614,33,3,"5,461","6,111",TITAN
Mar 2015,89,"2,995",100,"2,684","5,868",699,55,3,"5,111","5,868",TITAN
Mar 2016,89,"3,418",113,"2,723","6,342",771,107,30,"5,434","6,342",TITAN
Mar 2017,89,"4,144","1,882","2,293","8,408","1,189",152,431,"6,636","8,408",TITAN
Mar 2018,89,"5,001","1,691","2,740","9,521","1,474",43,36,"7,968","9,521",TITAN
Mar 2019,89,"5,981","2,393","3,247","11,710","1,567",32,108,"10,003","11,710",TITAN
Mar 2020,89,"6,580","3,562","3,313","13,544","2,633",18,158,"10,735","13,544",TITAN
Mar 2021,89,"7,408","5,638","3,309","16,444","2,523",32,"2,824","11,065","16,444",TITAN
Mar 2022,89,"9,214","7,275","4,610","21,188","2,544",85,294,"18,265","21,188",TITAN
Mar 2011,92,"3,634","2,679","1,800","8,205","2,321",57,823,"5,004","8,205",UPL
Mar 2012,92,"4,081","3,389","2,713","10,275","3,223",306,795,"5,952","10,275",UPL
Mar 2013,89,"4,557","4,203","3,487","12,336","3,489",378,"1,025","7,444","12,336",UPL
Mar 2014,86,"5,162","3,349","4,162","12,759","3,821",228,737,"7,973","12,759",UPL
Mar 2015,86,"5,775","3,281","5,143","14,284","4,031",583,764,"8,906","14,284",UPL
Mar 2016,86,"2,006","5,258","9,519","16,869","3,862",484,335,"12,188","16,869",UPL
Mar 2017,183,"7,214","6,361","6,536","20,212","4,071",792,378,"14,971","20,212",UPL
Mar 2018,102,"9,067","6,638","7,148","22,955","4,437","1,319","1,034","16,165","22,955",UPL
Mar 2019,102,"14,613","29,139","18,581","62,435","32,149","1,855",708,"27,723","62,435",UPL
Mar 2020,153,"19,129","29,388","19,758","68,428","35,321","2,073",558,"30,476","68,428",UPL
Mar 2021,153,"20,734","24,519","23,359","68,765","34,765","2,117",618,"31,265","68,765",UPL
Mar 2022,153,"24,508","26,746","29,196","80,603","36,193","2,501","1,922","39,987","80,603",UPL
Mar 2011,274,"10,373","5,541","5,439","21,626","12,775",760,"3,514","4,577","21,626",ULTRACEMCO
Mar 2012,274,"12,550","5,891","6,181","24,896","13,314","1,940","3,547","6,095","24,896",ULTRACEMCO
Mar 2013,274,"14,955","7,342","7,010","29,582","15,050","3,601","4,709","6,222","29,582",ULTRACEMCO
Mar 2014,274,"16,908","7,332","7,671","32,185","18,100","2,186","4,862","7,037","32,185",ULTRACEMCO
Mar 2015,274,"18,767","9,829","9,183","38,053","23,343","2,250","4,500","7,961","38,053",ULTRACEMCO
Mar 2016,274,"21,671","10,616","8,631","41,193","25,309","1,469","5,095","9,319","41,193",ULTRACEMCO
Mar 2017,275,"24,117","8,474","9,343","42,209","25,904",921,"6,691","8,693","42,209",ULTRACEMCO
Mar 2018,275,"26,107","19,480","11,280","57,141","39,715","1,511","5,447","10,468","57,141",ULTRACEMCO
Mar 2019,275,"28,088","25,337","22,826","76,525","56,645","1,153","2,921","15,806","76,525",ULTRACEMCO
Mar 2020,289,"38,755","23,019","17,151","79,214","57,151",920,"5,929","15,215","79,214",ULTRACEMCO
Mar 2021,289,"43,886","21,719","20,282","86,176","55,412","1,687","12,178","16,900","86,176",ULTRACEMCO
Mar 2022,289,"50,147","11,299","22,077","83,811","55,488","4,785","6,336","17,203","83,811",ULTRACEMCO
Sep 2022,289,"51,197","12,876","21,871","86,233","56,316","5,672","3,617","20,628","86,233",ULTRACEMCO
