quarter,promoter,fiis,diis,public,government,other,symbol
Dec 2019,36.68,20.3,20.87,22.16,0,,CIPLA
Mar 2020,36.68,17.98,22.63,22.71,0,,CIPLA
Jun 2020,36.68,18.64,21.28,23.4,0,,CIPLA
Sep 2020,36.7,20.06,19.76,23.48,0,,CIPLA
Dec 2020,36.7,22.09,17.96,23.25,0,,CIPLA
Mar 2021,36.73,23.26,17.17,22.84,0,,CIPLA
Jun 2021,36.72,24.83,16.24,22.21,0,,CIPLA
Sep 2021,36.12,24.8,21.03,18.05,0,,CIPLA
Dec 2021,36.11,24.36,21.52,18.01,0,,CIPLA
Mar 2022,33.63,26.65,21.99,17.73,0,,CIPLA
Jun 2022,33.61,27.65,21.33,17.4,0,,CIPLA
Sep 2022,33.61,27.69,21.47,17,0.21,,CIPLA
Dec 2019,69.05,8.59,19.47,2.82,0.07,,COALINDIA
Mar 2020,66.13,8.2,22,3.59,0.07,,COALINDIA
Jun 2020,66.13,7.85,22.22,3.73,0.07,,COALINDIA
Sep 2020,66.13,7.19,21.91,4.69,0.07,,COALINDIA
Dec 2020,66.13,6.5,22.16,5.14,0.07,,COALINDIA
Mar 2021,66.13,6.5,21.85,5.45,0.07,,COALINDIA
Jun 2021,66.13,6.56,21.54,5.69,0.07,,COALINDIA
Sep 2021,66.13,6.74,22,5.04,0.08,,COALINDIA
Dec 2021,66.13,6.59,21.26,5.93,0.09,,COALINDIA
Mar 2022,66.13,6.94,21.76,5.07,0.09,,COALINDIA
Jun 2022,66.13,6.54,22.49,4.75,0.09,,COALINDIA
Sep 2022,66.13,6.73,22.52,4.53,0.09,,COALINDIA
Dec 2019,52,19.7,15.47,12.83,0,,DIVISLAB
Mar 2020,51.97,19.08,15.59,13.35,0,,DIVISLAB
Jun 2020,51.97,18.17,16.8,13.07,0,,DIVISLAB
Sep 2020,51.96,18.28,18.8,10.96,0,,DIVISLAB
Dec 2020,51.95,20.37,16.86,10.83,0,,DIVISLAB
Mar 2021,51.95,19.87,16.74,11.45,0,,DIVISLAB
Jun 2021,51.95,20.6,16.56,10.89,0,,DIVISLAB
Sep 2021,51.95,20.7,16.36,11,0,,DIVISLAB
Dec 2021,51.95,19.3,17.73,11.02,0,,DIVISLAB
Mar 2022,51.94,18.45,18.32,11.28,0,,DIVISLAB
Jun 2022,51.94,16.52,19.98,11.56,0,,DIVISLAB
Sep 2022,51.94,15.4,20.75,11.88,0.03,,DIVISLAB
Dec 2019,26.76,30.04,15.1,27.87,,0.24,DRREDDY
Mar 2020,26.75,30.15,14.35,28.51,,0.24,DRREDDY
Jun 2020,26.74,29.33,14.64,29.06,,0.22,DRREDDY
Sep 2020,26.74,29.58,13.92,29.53,,0.23,DRREDDY
Dec 2020,26.73,29.13,14.73,29.19,,0.22,DRREDDY
Mar 2021,26.74,29.03,14.9,28.99,,0.35,DRREDDY
Jun 2021,26.73,29.04,15.74,28.17,,0.32,DRREDDY
Sep 2021,26.72,27.76,21.4,23.83,,0.29,DRREDDY
Dec 2021,26.72,27.42,22.29,23.29,,0.28,DRREDDY
Mar 2022,26.72,25.16,24.78,23.07,,0.28,DRREDDY
Jun 2022,26.71,25.87,25.18,21.96,,0.28,DRREDDY
Sep 2022,26.71,26.26,24.69,22.06,,0.27,DRREDDY
Dec 2019,49.28,31.19,8.21,11.21,0.11,,EICHERMOT
Mar 2020,49.28,27.71,11.12,11.75,0.15,,EICHERMOT
Jun 2020,49.28,26.95,11.94,11.68,0.15,,EICHERMOT
Sep 2020,49.25,28.16,9.94,12.5,0.15,,EICHERMOT
Dec 2020,49.24,28.89,9.35,12.37,0.15,,EICHERMOT
Mar 2021,49.23,29.06,9.08,12.49,0.15,,EICHERMOT
Jun 2021,49.22,28.83,9.5,12.36,0.1,,EICHERMOT
Sep 2021,49.22,30.28,8.65,11.76,0.1,,EICHERMOT
Dec 2021,49.22,29.45,9.73,11.5,0.1,,EICHERMOT
Mar 2022,49.21,29.22,9.95,11.52,0.1,,EICHERMOT
Jun 2022,49.21,29.5,10.13,11.06,0.1,,EICHERMOT
Sep 2022,49.21,30.25,9.95,10.48,0.1,,EICHERMOT
Dec 2019,40.11,15.98,22.64,21.06,,0.21,GRASIM
Mar 2020,40.26,13.52,22.86,23.15,,0.21,GRASIM
Jun 2020,40.26,12.66,21.37,25.5,,0.21,GRASIM
Sep 2020,40.92,12.55,20.26,26.07,,0.21,GRASIM
Dec 2020,41.42,12.96,18.42,26.99,,0.21,GRASIM
Mar 2021,41.83,14.44,16.81,26.72,,0.2,GRASIM
Jun 2021,42.09,15.1,15.99,26.62,,0.2,GRASIM
Sep 2021,42.26,14.96,15.3,27.23,,0.26,GRASIM
Dec 2021,42.54,12.81,14.71,29.68,,0.25,GRASIM
Mar 2022,42.76,12.71,14.43,29.87,,0.23,GRASIM
Jun 2022,42.76,11.49,15.35,30.18,,0.22,GRASIM
Sep 2022,42.75,12.03,16.86,28.06,,0.28,GRASIM
Dec 2019,59.98,27.66,8.42,3.9,0.04,0,HCLTECH
Mar 2020,60.33,26.42,9.11,4.1,0.04,0,HCLTECH
Jun 2020,60.33,25.62,10.01,4,0.04,0,HCLTECH
Sep 2020,60.33,24.92,10.62,4.09,0.04,0,HCLTECH
Dec 2020,60.33,24.92,10.25,4.46,0.04,0,HCLTECH
Mar 2021,60.33,24.14,10.54,4.97,0.02,0,HCLTECH
Jun 2021,60.33,23.22,11.34,5.09,0.02,0,HCLTECH
Sep 2021,60.33,22.3,12.47,4.88,0.02,0,HCLTECH
Dec 2021,60.33,20.43,13.74,5.28,0.02,0.2,HCLTECH
Mar 2022,60.72,18.97,14.68,5.38,0.02,0.23,HCLTECH
Jun 2022,60.72,17.91,15.54,5.59,0.02,0.23,HCLTECH
Sep 2022,60.72,17.17,16.52,5.34,0.02,0.23,HCLTECH
Dec 2019,26.18,37.92,20.86,14.83,0.21,,HDFCBANK
Mar 2020,26.14,36.68,21.74,15.21,0.23,,HDFCBANK
Jun 2020,26.1,37.04,21.85,14.76,0.25,,HDFCBANK
Sep 2020,26.02,37.43,22.66,13.65,0.24,,HDFCBANK
Dec 2020,26,39.35,21.47,12.95,0.24,,HDFCBANK
Mar 2021,25.97,39.79,20.99,13.01,0.24,,HDFCBANK
Jun 2021,25.89,39.39,21.46,13.1,0.16,,HDFCBANK
Sep 2021,25.83,38.23,22.53,13.25,0.16,,HDFCBANK
Dec 2021,25.8,37.47,22.97,13.6,0.16,,HDFCBANK
Mar 2022,25.78,35.62,24.55,13.89,0.16,,HDFCBANK
Jun 2022,25.73,32.31,27.11,14.69,0.16,,HDFCBANK
Sep 2022,25.64,32.14,27.53,14.51,0.16,,HDFCBANK
Dec 2019,66.18,19.94,4.96,8.89,,0.03,HDFCLIFE
Mar 2020,63.69,21.07,6.08,9.13,,0.03,HDFCLIFE
Jun 2020,60.41,23.55,7.29,8.72,,0.03,HDFCLIFE
Sep 2020,60.4,23.44,7.28,8.85,,0.03,HDFCLIFE
Dec 2020,58.87,24.85,7.09,9.16,,0.03,HDFCLIFE
Mar 2021,58.86,25.67,6.25,9.2,,0.03,HDFCLIFE
Jun 2021,53.84,26.06,5.87,14.21,,0.03,HDFCLIFE
Sep 2021,53.81,30.12,6.67,9.38,,0.03,HDFCLIFE
Dec 2021,53.77,30.45,6.08,9.68,,0.03,HDFCLIFE
Mar 2022,51.53,26.31,7.81,14.32,,0.03,HDFCLIFE
Jun 2022,51.52,27.66,6.92,13.88,,0.03,HDFCLIFE
Sep 2022,50.32,28.81,6.88,13.97,,0.03,HDFCLIFE
Dec 2019,34.63,35.29,19.56,10.52,,,HEROMOTOCO
Mar 2020,34.63,34.27,19.89,11.21,,,HEROMOTOCO
Jun 2020,34.77,32.71,21.72,10.8,,,HEROMOTOCO
Sep 2020,34.76,33.29,22.85,9.1,,,HEROMOTOCO
Dec 2020,34.76,35.89,19.98,9.37,,,HEROMOTOCO
Mar 2021,34.76,37.19,18.68,9.37,,,HEROMOTOCO
Jun 2021,34.76,34.97,20.23,10.05,,,HEROMOTOCO
Sep 2021,34.76,32.28,21.97,11,,,HEROMOTOCO
Dec 2021,34.75,29.57,23.69,11.99,,,HEROMOTOCO
Mar 2022,34.75,29.22,24.24,11.79,,,HEROMOTOCO
Jun 2022,34.78,28.84,25.58,10.81,,,HEROMOTOCO
Sep 2022,34.78,27.79,26.89,10.55,,,HEROMOTOCO
Dec 2019,34.65,20.74,25.19,19.05,0.12,0.25,HINDALCO
Mar 2020,34.65,18.68,26.27,19.72,0.41,0.26,HINDALCO
Jun 2020,34.65,18.52,26.87,19.29,0.41,0.26,HINDALCO
Sep 2020,34.65,19.59,25.1,20.38,0.01,0.26,HINDALCO
Dec 2020,34.65,22.79,22.07,20.22,0.01,0.26,HINDALCO
Mar 2021,34.64,25,20.81,19.28,0.01,0.26,HINDALCO
Jun 2021,34.64,24.95,20.58,19.55,0.01,0.26,HINDALCO
Sep 2021,34.64,25.47,20.61,18.97,0.01,0.29,HINDALCO
Dec 2021,34.64,25.99,21.17,17.85,0.01,0.34,HINDALCO
Mar 2022,34.64,28.85,19.22,16.96,0.01,0.31,HINDALCO
